index,category,floor,area
1,residential,1,0.23549869
2,residential,7,41.30299413
3,residential,1,70.79292465
4,residential,2,95.22357824
5,residential,3,119.1753794
6,residential,2,147.4369983
7,residential,5,192.0901905
8,residential,6,296.3601028
9,residential,8,518.8829925
10,residential,10,85938.84779
11,commercial,1,0.36427082
12,commercial,9,47.09588026
13,commercial,5,71.56746355
14,commercial,3,103.6620464
15,commercial,13,145.7244066
16,commercial,6,206.6356601
17,commercial,1,304.8990695
18,commercial,1,506.9268522
19,commercial,38,1008.784406
20,commercial,5,63471.61669
